Labour force characteristics,Sex,Age group,Reference period,Canada,Newfoundland and Labrador,Prince Edward Island,Nova Scotia,New Brunswick,Quebec,Ontario,Manitoba,Saskatchewan,Alberta,British Columbia
Population 4 5,Females,70 years and over,2019,"2,293.90",37,10.6,70.3,56.4,571.4,900,73,62.5,192.3,320.2
Population 4 5,Females,70 years and over,2020,"2,382.10",38.9,11.1,73,58.7,590.9,932.5,75.2,63.9,202.3,335.6
Population 4 5,Females,70 years and over,2021,"2,471.20",40.7,11.6,75.8,60.9,611.5,965.2,77.3,65.4,212,350.8
Employment 6,Both sexes,15 years and over,2019,"18,985.60",227,79.2,461.2,361.1,"4,308.10","7,376.90",655.4,570.9,"2,279.30","2,666.40"
Employment 6,Both sexes,15 years and over,2020,"17,999.20",214,76.7,439.7,351.6,"4,099.60","7,021.60",630.9,544.1,"2,129.80","2,491.10"
Employment 6,Both sexes,15 years and over,2021,"18,865.40",220.1,79.4,463.5,360.5,"4,269.00","7,366.40",653.3,558.2,"2,239.20","2,655.70"
Employment 6,Both sexes,15 to 24 years,2019,"2,590.70",27.1,12.7,66.9,47.8,587.3,"1,014.50",100.6,77.3,293,363.5
Employment 6,Both sexes,15 to 24 years,2020,"2,218.10",26.4,11.2,58.4,44,518.1,857.6,89.8,70.5,243.9,298.3
Employment 6,Both sexes,15 to 24 years,2021,"2,460.10",28.2,12.2,64.1,48.8,561.1,944.7,99.2,77.5,275.6,348.8
Employment 6,Both sexes,25 years and over,2019,"16,394.90",199.9,66.5,394.3,313.3,"3,720.80","6,362.50",554.8,493.6,"1,986.30","2,302.90"
Employment 6,Both sexes,25 years and over,2020,"15,781.10",187.7,65.5,381.4,307.6,"3,581.50","6,164.10",541.1,473.6,"1,885.80","2,192.70"
Employment 6,Both sexes,25 years and over,2021,"16,405.30",191.9,67.2,399.4,311.7,"3,708.00","6,421.80",554.1,480.7,"1,963.60","2,306.90"
Employment 6,Both sexes,25 to 44 years,2019,"8,276.50",91.1,30.6,183.5,142.3,"1,879.60","3,169.30",287.9,255.4,"1,083.40","1,153.40"
Employment 6,Both sexes,25 to 44 years,2020,"8,002.40",86.7,29.7,181.5,138.5,"1,825.00","3,086.60",280.6,246,"1,032.20","1,095.70"
Employment 6,Both sexes,25 to 44 years,2021,"8,401.20",87.6,31.9,189.7,142.7,"1,887.10","3,265.00",291.2,255.4,"1,069.30","1,181.30"
Employment 6,Both sexes,45 to 64 years,2019,"7,238.20",98.2,31.1,188.4,153.5,"1,668.00","2,846.80",236.6,204.6,800.4,"1,010.50"
Employment 6,Both sexes,45 to 64 years,2020,"6,946.90",93.1,30.8,176.5,151,"1,602.00","2,738.80",230.6,196.2,766.1,961.7
Employment 6,Both sexes,45 to 64 years,2021,"7,129.90",94.1,30.5,184.4,150.8,"1,650.30","2,801.50",233.8,196.2,798.3,990
Employment 6,Both sexes,45 years and over,2019,"8,118.50",108.8,35.9,210.8,171,"1,841.20","3,193.20",266.9,238.2,902.9,"1,149.50"
Employment 6,Both sexes,45 years and over,2020,"7,778.70",101,35.8,199.9,169.1,"1,756.50","3,077.50",260.6,227.6,853.7,"1,097.10"
Employment 6,Both sexes,45 years and over,2021,"8,004.10",104.3,35.3,209.7,169,"1,820.90","3,156.80",263,225.3,894.3,"1,125.50"
Employment 6,Both sexes,25 to 54 years,2019,"12,283.50",146.9,47.1,285.3,226.2,"2,799.30","4,754.80",417.6,362.4,"1,536.80","1,707.20"
Employment 6,Both sexes,25 to 54 years,2020,"11,809.60",141.4,46.3,277.5,221.3,"2,699.30","4,579.60",406.9,351,"1,465.50","1,620.80"
Employment 6,Both sexes,25 to 54 years,2021,"12,275.50",141.7,48.1,287.2,224.7,"2,782.00","4,777.00",420.1,360.2,"1,519.30","1,715.20"
Employment 6,Both sexes,55 years and over,2019,"4,111.40",53,19.4,109,87.1,921.4,"1,607.70",137.2,131.2,449.5,595.8
Employment 6,Both sexes,55 years and over,2020,"3,971.50",46.3,19.2,103.8,86.4,882.2,"1,584.40",134.3,122.6,420.4,571.9
Employment 6,Both sexes,55 years and over,2021,"4,129.90",50.2,19.2,112.3,87,925.9,"1,644.80",134.1,120.5,444.2,591.7
Employment 6,Both sexes,15 to 64 years,2019,"18,105.30",216.4,74.4,438.8,343.6,"4,135.00","7,030.60",625,537.3,"2,176.80","2,527.40"
Employment 6,Both sexes,15 to 64 years,2020,"17,167.40",206.1,71.7,416.4,333.5,"3,945.20","6,682.90",601,512.7,"2,042.20","2,355.70"
Employment 6,Both sexes,15 to 64 years,2021,"17,991.20",210,74.6,438.2,342.2,"4,098.40","7,011.20",624.1,529.1,"2,143.20","2,520.10"
Employment 6,Both sexes,15 to 19 years,2019,891.6,9.2,4.4,23.8,18.3,219,340.2,34.5,27.2,94.6,120.5
Employment 6,Both sexes,15 to 19 years,2020,750.9,9.2,3.6,19.4,17.7,190.6,273.7,31.6,24.2,82.3,98.7
Employment 6,Both sexes,15 to 19 years,2021,858.9,10.2,4.1,21.2,20,216.8,309.5,33.5,28.6,95.6,119.3
Employment 6,Both sexes,20 to 24 years,2019,"1,699.00",17.9,8.4,43.1,29.5,368.3,674.2,66,50.1,198.4,243
Employment 6,Both sexes,20 to 24 years,2020,"1,467.20",17.2,7.5,39,26.3,327.5,583.9,58.2,46.3,161.6,199.7
Employment 6,Both sexes,20 to 24 years,2021,"1,601.30",18.1,8,42.8,28.7,344.3,635.2,65.7,48.9,180,229.5
Employment 6,Both sexes,25 to 29 years,2019,"2,073.50",20.5,7.9,47,32.5,455.6,832.4,72,60.3,253.7,291.7
Employment 6,Both sexes,25 to 29 years,2020,"1,940.00",19.4,7.6,44.1,32.1,436.1,784.7,68.5,55.1,229,263.3
Employment 6,Both sexes,25 to 29 years,2021,"2,031.00",19.5,8.6,48,32.7,445.7,825.7,69.2,55.1,240.2,286.3
Employment 6,Both sexes,30 to 34 years,2019,"2,094.90",22,7.1,46.2,34.1,446.6,808.6,74.1,66.4,282.5,307.1
Employment 6,Both sexes,30 to 34 years,2020,"2,055.50",20.5,7.2,46.4,33.2,441.2,804.3,72.2,62.8,274.9,292.9
Employment 6,Both sexes,30 to 34 years,2021,"2,172.40",21.7,7.9,49,35,457.1,870.5,75.7,65.7,276.2,313.7
Employment 6,Both sexes,35 to 39 years,2019,"2,075.60",24.2,7.3,43.8,35.1,498.4,758.4,71.7,67.2,279.4,290
Employment 6,Both sexes,35 to 39 years,2020,"2,003.20",24.1,7.8,45.6,33.8,465.2,746.2,67.9,67.3,275.6,269.6
Employment 6,Both sexes,35 to 39 years,2021,"2,095.00",21.4,7.6,46.5,35.1,469.5,778.4,71.9,71.6,297.1,296
Employment 6,Both sexes,40 to 44 years,2019,"2,032.50",24.4,8.2,46.4,40.6,479,769.9,70.1,61.5,267.8,264.6
Employment 6,Both sexes,40 to 44 years,2020,"2,003.70",22.7,7.1,45.3,39.5,482.5,751.4,71.9,60.7,252.7,269.9
Employment 6,Both sexes,40 to 44 years,2021,"2,102.80",25,7.8,46.3,39.9,514.7,790.4,74.4,63.1,255.8,285.4
Employment 6,Both sexes,45 to 49 years,2019,"1,964.60",28.3,7.8,47,41.2,443.5,767.8,62.6,55.4,236.5,274.4
Employment 6,Both sexes,45 to 49 years,2020,"1,834.60",26.4,7.8,45.6,40.1,417.1,704.8,62.6,52.3,217.7,260.4
Employment 6,Both sexes,45 to 49 years,2021,"1,879.00",23.5,8,46.8,41.6,451.4,707.6,65.4,55,225,254.8
Employment 6,Both sexes,50 to 54 years,2019,"2,042.50",27.5,8.7,54.9,42.7,476.2,817.7,67.1,51.6,216.8,279.4
Employment 6,Both sexes,50 to 54 years,2020,"1,972.60",28.3,8.8,50.5,42.7,457.2,788.3,63.7,52.7,215.5,264.8
Employment 6,Both sexes,50 to 54 years,2021,"1,995.20",30.6,8.2,50.7,40.4,443.6,804.4,63.5,49.8,225,279.1
Employment 6,Both sexes,55 to 59 years,2019,"1,929.30",25.8,8.5,51.4,40.6,458,752,64.5,56.4,202.3,269.9
Employment 6,Both sexes,55 to 59 years,2020,"1,868.40",23.6,8.2,49.6,40.6,437.5,744.7,62.3,53,193.3,255.7
Employment 6,Both sexes,55 to 59 years,2021,"1,895.90",24.6,8.2,50,40,448.9,749,60.8,53.1,201.1,260.2
Employment 6,Both sexes,60 to 64 years,2019,"1,301.80",16.7,6.2,35.2,29.1,290.4,509.3,42.4,41.1,144.6,186.8
Employment 6,Both sexes,60 to 64 years,2020,"1,271.30",14.8,6,30.8,27.7,290.3,501,41.9,38.2,139.6,181
Employment 6,Both sexes,60 to 64 years,2021,"1,359.70",15.4,6.1,37,28.8,306.4,540.5,44.1,38.3,147.1,195.9
Employment 6,Both sexes,65 years and over,2019,880.3,10.5,4.8,22.4,17.5,173.1,346.4,30.4,33.6,102.5,139
Employment 6,Both sexes,65 years and over,2020,831.8,7.9,5,23.4,18.1,154.5,338.7,30,31.4,87.5,135.3
Employment 6,Both sexes,65 years and over,2021,874.2,10.2,4.8,25.3,18.2,170.6,355.2,29.2,29.1,96,135.5
Employment 6,Both sexes,65 to 69 years,2019,554.6,7.2,2.9,14.1,10.3,112.1,213.8,18.9,20.1,66.5,88.6
Employment 6,Both sexes,65 to 69 years,2020,510.4,5.3,2.9,14.4,11.1,97.6,210.9,18.2,17.1,51.1,82
Employment 6,Both sexes,65 to 69 years,2021,551.5,6.5,2.8,15.7,11.1,110.2,224.6,18,15.9,62.3,84.4
Employment 6,Both sexes,70 years and over,2019,325.6,3.4,1.9,8.3,7.2,61,132.5,11.4,13.5,36,50.3
Employment 6,Both sexes,70 years and over,2020,321.3,2.6,2.2,9,7,56.9,127.8,11.8,14.3,36.5,53.3
Employment 6,Both sexes,70 years and over,2021,322.7,3.7,2,9.6,7.2,60.4,130.6,11.1,13.2,33.7,51.1
Employment 6,Males,15 years and over,2019,"9,971.40",116.9,40.3,230.6,184.3,"2,255.00","3,874.70",350.3,309.4,"1,220.60","1,389.30"
Employment 6,Males,15 years and over,2020,"9,521.80",106.5,39.7,221.4,180.2,"2,159.60","3,722.10",339.5,294.8,"1,151.20","1,306.70"
Employment 6,Males,15 years and over,2021,"9,945.90",110.9,41.6,232.4,183.1,"2,253.70","3,885.70",348.5,299.9,"1,196.80","1,393.20"
Employment 6,Males,15 to 24 years,2019,"1,311.70",14.1,6.5,33.5,24.3,291.6,519.5,51.2,41,148.9,181.2
Employment 6,Males,15 to 24 years,2020,"1,140.10",12.8,5.8,29.8,23.2,259.2,446.1,46,36.5,126.1,154.6
Employment 6,Males,15 to 24 years,2021,"1,254.20",14.4,6.6,31.7,24.9,281.2,485.7,50.9,40.4,138.2,180.2
Employment 6,Males,25 years and over,2019,"8,659.70",102.9,33.8,197.1,160,"1,963.50","3,355.30",299,268.4,"1,071.70","1,208.00"
Employment 6,Males,25 years and over,2020,"8,381.70",93.7,33.9,191.6,157.1,"1,900.40","3,276.00",293.5,258.3,"1,025.10","1,152.10"
Employment 6,Males,25 years and over,2021,"8,691.70",96.5,35.1,200.7,158.2,"1,972.40","3,400.00",297.6,259.6,"1,058.60","1,213.00"
Employment 6,Males,25 to 44 years,2019,"4,327.60",46,15.3,89.2,70.6,972.3,"1,659.50",154.8,137.2,580.6,602
Employment 6,Males,25 to 44 years,2020,"4,196.20",41.8,15.1,88.1,68.3,949.3,"1,626.80",150.1,131.9,549.2,575.4
Employment 6,Males,25 to 44 years,2021,"4,399.60",42.6,16.2,93.1,70.6,982.4,"1,711.80",154.7,136.5,575.5,616.2
Employment 6,Males,45 to 64 years,2019,"3,794.70",50.1,15.6,94.4,78.6,880.9,"1,488.60",124.5,109.6,428.5,523.9
Employment 6,Males,45 to 64 years,2020,"3,663.30",46.7,15.4,89.2,77.7,852,"1,439.00",123.6,105.3,419.2,495.3
Employment 6,Males,45 to 64 years,2021,"3,743.40",47.2,15.6,92.4,76.7,875.4,"1,468.40",124.3,103.8,426.8,512.9
Employment 6,Males,45 years and over,2019,"4,332.10",56.9,18.5,107.8,89.4,991.2,"1,695.80",144.2,131.2,491.1,606
Employment 6,Males,45 years and over,2020,"4,185.60",51.9,18.8,103.4,88.8,951.1,"1,649.20",143.4,126.4,476,576.7
Employment 6,Males,45 years and over,2021,"4,292.10",53.9,18.9,107.7,87.6,990,"1,688.20",142.9,123.1,483.1,596.8
Employment 6,Males,25 to 54 years,2019,"6,387.50",73.4,23.5,138.7,112.4,"1,446.40","2,471.60",221.8,193.7,823.3,882.7
Employment 6,Males,25 to 54 years,2020,"6,165.70",68.2,23.3,135.3,110.2,"1,403.20","2,401.40",215.7,187.1,782.1,839.2
Employment 6,Males,25 to 54 years,2021,"6,391.00",68.7,24.2,139.9,111.5,"1,443.20","2,485.60",221.8,191.2,816,888.9
Employment 6,Males,55 years and over,2019,"2,272.20",29.5,10.3,58.3,47.6,517.1,883.6,77.2,74.7,248.5,325.3
Employment 6,Males,55 years and over,2020,"2,216.00",25.5,10.6,56.2,46.8,497.3,874.6,77.8,71.2,243.1,312.9
Employment 6,Males,55 years and over,2021,"2,300.70",27.8,10.9,60.8,46.7,529.2,914.4,75.8,68.4,242.6,324.1
Employment 6,Males,15 to 64 years,2019,"9,434.00",110.2,37.4,217.1,173.6,"2,144.80","3,667.50",330.5,287.9,"1,158.00","1,307.10"
Employment 6,Males,15 to 64 years,2020,"8,999.60",101.3,36.4,207.2,169.2,"2,060.40","3,511.90",319.7,273.8,"1,094.50","1,225.30"
Employment 6,Males,15 to 64 years,2021,"9,397.20",104.2,38.3,217.1,172.3,"2,139.10","3,665.90",329.9,280.7,"1,140.50","1,309.30"
Employment 6,Males,15 to 19 years,2019,439.1,4.7,2.1,11.2,8.9,107.2,168.3,16.6,14.1,47.4,58.4
Employment 6,Males,15 to 19 years,2020,371.6,4.2,1.8,9.7,8.8,93.3,137.8,16,12.1,40.2,47.7
Employment 6,Males,15 to 19 years,2021,424.6,4.7,2.1,10,9.8,107.6,154.5,16.3,14.5,46.5,58.5
Employment 6,Males,20 to 24 years,2019,872.6,9.4,4.4,22.2,15.4,184.4,351.2,34.6,26.9,101.4,122.8
Employment 6,Males,20 to 24 years,2020,768.4,8.6,4.1,20.2,14.4,165.8,308.3,29.9,24.4,85.9,106.9
Employment 6,Males,20 to 24 years,2021,829.7,9.7,4.5,21.7,15.1,173.6,331.2,34.7,25.9,91.7,121.6
Employment 6,Males,25 to 29 years,2019,"1,078.30",10.8,4.2,23.8,16.1,232.5,432.6,39.2,32.8,133.8,152.5
Employment 6,Males,25 to 29 years,2020,"1,012.10",10,4.1,20.9,15.3,225.3,413.6,36.6,29.7,118.8,137.7
Employment 6,Males,25 to 29 years,2021,"1,060.90",9.8,4.7,24.4,16.6,232.3,431.8,36.7,29.9,127.3,147.3
Employment 6,Males,30 to 34 years,2019,"1,117.10",11.3,3.5,22.8,17.2,231.7,437,40.2,36.2,154.2,162.9
Employment 6,Males,30 to 34 years,2020,"1,089.00",9.6,3.6,23,16.8,234,423.5,39.3,34.6,149.2,155.4
Employment 6,Males,30 to 34 years,2021,"1,144.50",10.6,3.9,23.6,17.4,240,458.4,41.2,34.9,150.4,164.1
Employment 6,Males,35 to 39 years,2019,"1,095.50",11.3,3.5,20.4,17.4,256.8,409,38.6,36,150.1,152.3
Employment 6,Males,35 to 39 years,2020,"1,053.30",10.8,4,22.8,16.9,237.2,394,36.6,34.8,154.6,141.7
Employment 6,Males,35 to 39 years,2021,"1,112.50",10,3.9,22.6,16.9,244.5,412.2,38.1,39,170.9,154.5
Employment 6,Males,40 to 44 years,2019,"1,036.80",12.6,4.1,22.1,19.9,251.2,381,36.8,32.2,142.6,134.4
Employment 6,Males,40 to 44 years,2020,"1,041.70",11.5,3.4,21.5,19.3,252.8,395.7,37.6,32.8,126.5,140.7
Employment 6,Males,40 to 44 years,2021,"1,081.70",12.1,3.7,22.4,19.7,265.7,409.4,38.7,32.7,126.9,150.3
Employment 6,Males,45 to 49 years,2019,"1,006.80",13.7,3.8,23,20.1,224.5,393,33.1,29.1,125.3,141.1
Employment 6,Males,45 to 49 years,2020,950.7,12.6,3.7,22.6,20.1,215.3,369.8,32.3,26.9,118,129.3
Employment 6,Males,45 to 49 years,2021,965.1,10.9,3.8,23.4,20.6,231.6,362.6,33.9,28.6,122.6,127
Employment 6,Males,50 to 54 years,2019,"1,053.10",13.7,4.4,26.5,21.7,249.6,419.2,33.9,27.3,117.3,139.5
Employment 6,Males,50 to 54 years,2020,"1,018.90",13.8,4.5,24.6,21.8,238.5,404.7,33.3,28.3,114.9,134.5
Employment 6,Males,50 to 54 years,2021,"1,026.30",15.3,4.2,23.4,20.3,229.2,411.2,33.2,26.2,117.9,145.6
Employment 6,Males,55 to 59 years,2019,"1,017.20",13.5,4.1,26.6,20.7,242.2,398.9,33.1,30.6,106.5,140.9
Employment 6,Males,55 to 59 years,2020,984.5,11.5,4,25.5,20.7,233.7,389.6,33.1,28.5,104.7,133.2
Employment 6,Males,55 to 59 years,2021,"1,002.10",12.6,4.1,25.5,20.2,238.5,399.9,32.3,27.8,106.7,134.6
Employment 6,Males,60 to 64 years,2019,717.5,9.2,3.3,18.3,16.2,164.6,277.5,24.3,22.6,79.4,102.3
Employment 6,Males,60 to 64 years,2020,709.3,8.8,3.2,16.6,15,164.3,274.8,25,21.6,81.6,98.4
Employment 6,Males,60 to 64 years,2021,750,8.5,3.4,20,15.7,176.2,294.7,24.8,21.3,79.6,105.7
Employment 6,Males,65 years and over,2019,537.4,6.8,3,13.5,10.7,110.2,207.2,19.7,21.5,62.6,82.1
Employment 6,Males,65 years and over,2020,522.2,5.2,3.4,14.2,11.1,99.2,210.2,19.8,21.1,56.7,81.4
Employment 6,Males,65 years and over,2021,548.7,6.7,3.3,15.3,10.8,114.6,219.8,18.6,19.3,56.3,83.9
Employment 6,Males,65 to 69 years,2019,322.4,4.6,1.7,7.9,5.9,67.8,121.9,11.4,12.4,38.7,50.1
Employment 6,Males,65 to 69 years,2020,308,3.4,1.9,7.9,6.6,58.7,126.5,11.4,10.8,32.6,48.3
Employment 6,Males,65 to 69 years,2021,327.6,4.3,1.8,8.9,6,67.5,132.8,11.2,10.1,35.1,50.1
Employment 6,Males,70 years and over,2019,215,2.2,1.2,5.6,4.8,42.4,85.4,8.3,9.1,23.9,32
Employment 6,Males,70 years and over,2020,214.2,1.8,1.5,6.3,4.5,40.4,83.7,8.4,10.2,24.2,33.1
Employment 6,Males,70 years and over,2021,221,2.4,1.5,6.5,4.8,47.1,87,7.5,9.2,21.2,33.8
Employment 6,Females,15 years and over,2019,"9,014.20",110.1,38.9,230.6,176.8,"2,053.10","3,502.20",305.1,261.5,"1,058.70","1,277.20"
Employment 6,Females,15 years and over,2020,"8,477.40",107.5,36.9,218.4,171.4,"1,940.00","3,299.60",291.5,249.3,978.5,"1,184.30"
Employment 6,Females,15 years and over,2021,"8,919.50",109.2,37.8,231.1,177.3,"2,015.40","3,480.80",304.8,258.3,"1,042.50","1,262.50"
Employment 6,Females,15 to 24 years,2019,"1,279.00",13,6.2,33.4,23.5,295.7,495,49.4,36.3,144.2,182.3
Employment 6,Females,15 to 24 years,2020,"1,078.10",13.6,5.3,28.6,20.8,259,411.5,43.8,33.9,117.8,143.7
Employment 6,Females,15 to 24 years,2021,"1,205.90",13.8,5.6,32.3,23.8,279.8,459,48.2,37.1,137.5,168.7
Employment 6,Females,25 years and over,2019,"7,735.20",97,32.6,197.2,153.3,"1,757.30","3,007.20",255.8,225.2,914.5,"1,094.90"
Employment 6,Females,25 years and over,2020,"7,399.30",93.9,31.6,189.8,150.6,"1,681.10","2,888.10",247.6,215.3,860.7,"1,040.70"
Employment 6,Females,25 years and over,2021,"7,713.60",95.4,32.2,198.7,153.5,"1,735.50","3,021.80",256.5,221.2,905,"1,093.80"
Employment 6,Females,25 to 44 years,2019,"3,948.80",45.1,15.3,94.2,71.7,907.3,"1,509.80",133,118.2,502.8,551.4
Employment 6,Females,25 to 44 years,2020,"3,806.20",44.9,14.6,93.3,70.2,875.7,"1,459.80",130.4,114.1,483,520.3
Employment 6,Females,25 to 44 years,2021,"4,001.70",45.1,15.7,96.7,72,904.7,"1,553.20",136.5,118.9,493.8,565.1
Employment 6,Females,45 to 64 years,2019,"3,443.50",48.1,15.5,94,74.9,787.1,"1,358.30",112.1,95,371.9,486.7
Employment 6,Females,45 to 64 years,2020,"3,283.60",46.4,15.4,87.3,73.4,750.1,"1,299.80",107,90.9,346.9,466.5
Employment 6,Females,45 to 64 years,2021,"3,386.40",46.9,14.9,92,74.1,774.8,"1,333.20",109.5,92.4,371.5,477.1
Employment 6,Females,45 years and over,2019,"3,786.40",51.9,17.4,103,81.6,850,"1,497.40",122.7,107.1,411.8,543.5
Employment 6,Females,45 years and over,2020,"3,593.10",49.1,17,96.4,80.4,805.4,"1,428.30",117.2,101.2,377.7,520.4
Employment 6,Females,45 years and over,2021,"3,712.00",50.3,16.4,102,81.5,830.9,"1,468.60",120.1,102.2,411.2,528.7
Employment 6,Females,25 to 54 years,2019,"5,896.00",73.5,23.6,146.5,113.8,"1,352.90","2,283.10",195.7,168.7,713.5,824.5
Employment 6,Females,25 to 54 years,2020,"5,643.90",73.2,23,142.2,111,"1,296.10","2,178.20",191.2,163.9,683.4,781.6
Employment 6,Females,25 to 54 years,2021,"5,884.50",73,23.8,147.3,113.2,"1,338.90","2,291.40",198.3,169,703.3,826.3
Employment 6,Females,55 years and over,2019,"1,839.20",23.5,9.1,50.7,39.5,404.4,724.1,60,56.5,201,270.4
Employment 6,Females,55 years and over,2020,"1,755.50",20.8,8.6,47.6,39.5,385,709.8,56.4,51.4,177.3,259
Employment 6,Females,55 years and over,2021,"1,829.20",22.4,8.3,51.5,40.3,396.7,730.4,58.3,52.1,201.7,267.5
Employment 6,Females,15 to 64 years,2019,"8,671.30",106.3,37.1,221.7,170,"1,990.20","3,363.10",294.5,249.4,"1,018.80","1,220.30"
Employment 6,Females,15 to 64 years,2020,"8,167.80",104.8,35.3,209.2,164.3,"1,884.70","3,171.10",281.3,239,947.7,"1,130.40"
Employment 6,Females,15 to 64 years,2021,"8,594.00",105.8,36.3,221.1,169.9,"1,959.40","3,345.30",294.2,248.4,"1,002.70","1,210.90"
Employment 6,Females,15 to 19 years,2019,452.5,4.5,2.3,12.6,9.4,111.8,171.9,17.9,13.1,47.1,62
Employment 6,Females,15 to 19 years,2020,379.3,5,1.8,9.7,8.9,97.2,135.9,15.6,12.1,42.1,50.9
Employment 6,Females,15 to 19 years,2021,434.3,5.4,2.1,11.2,10.2,109.2,155,17.2,14.1,49.1,60.8
Employment 6,Females,20 to 24 years,2019,826.5,8.6,4,20.9,14.1,184,323.1,31.4,23.2,97,120.2
Employment 6,Females,20 to 24 years,2020,698.8,8.6,3.5,18.9,11.9,161.7,275.6,28.3,21.8,75.8,92.8
Employment 6,Females,20 to 24 years,2021,771.6,8.4,3.6,21.2,13.6,170.7,304,31,23,88.3,107.8
Employment 6,Females,25 to 29 years,2019,995.2,9.7,3.7,23.2,16.4,223.1,399.9,32.7,27.5,119.9,139.2
Employment 6,Females,25 to 29 years,2020,927.9,9.4,3.5,23.2,16.8,210.8,371.1,31.9,25.4,110.2,125.6
Employment 6,Females,25 to 29 years,2021,970.1,9.7,4,23.5,16.1,213.5,393.9,32.5,25.1,112.9,138.9
Employment 6,Females,30 to 34 years,2019,977.8,10.7,3.6,23.4,16.9,214.8,371.7,33.9,30.2,128.3,144.3
Employment 6,Females,30 to 34 years,2020,966.5,10.9,3.6,23.5,16.3,207.2,380.8,32.9,28.2,125.6,137.5
Employment 6,Females,30 to 34 years,2021,"1,028.00",11.1,4,25.4,17.5,217.2,412.1,34.5,30.8,125.8,149.6
Employment 6,Females,35 to 39 years,2019,980.1,12.9,3.8,23.3,17.7,241.6,349.4,33.1,31.2,129.3,137.7
Employment 6,Females,35 to 39 years,2020,949.8,13.3,3.8,22.8,16.9,228.1,352.2,31.3,32.5,121,128
Employment 6,Females,35 to 39 years,2021,982.4,11.3,3.8,23.9,18.2,225,366.2,33.7,32.6,126.2,141.5
Employment 6,Females,40 to 44 years,2019,995.6,11.9,4.1,24.3,20.7,227.8,388.9,33.3,29.2,125.2,130.2
Employment 6,Females,40 to 44 years,2020,962,11.2,3.7,23.8,20.2,229.7,355.7,34.3,27.9,126.2,129.2
Employment 6,Females,40 to 44 years,2021,"1,021.20",12.9,4,23.9,20.2,249.1,381,35.7,30.4,128.9,135.1
Employment 6,Females,45 to 49 years,2019,957.7,14.6,4,23.9,21.1,219,374.8,29.5,26.3,111.2,133.3
Employment 6,Females,45 to 49 years,2020,883.9,13.8,4,23,19.9,201.7,335,30.3,25.4,99.7,131.1
Employment 6,Females,45 to 49 years,2021,913.9,12.6,4.2,23.3,21.1,219.8,345,31.4,26.4,102.4,127.7
Employment 6,Females,50 to 54 years,2019,989.4,13.8,4.3,28.4,21,226.6,398.5,33.2,24.3,99.5,139.8
Employment 6,Females,50 to 54 years,2020,953.7,14.5,4.4,25.9,20.9,218.7,383.5,30.5,24.4,100.6,130.3
Employment 6,Females,50 to 54 years,2021,968.9,15.3,4,27.2,20.1,214.4,393.2,30.4,23.6,107.2,133.5
Employment 6,Females,55 to 59 years,2019,912.1,12.2,4.4,24.8,19.8,215.7,353.1,31.3,25.9,95.9,129
Employment 6,Females,55 to 59 years,2020,884,12,4.2,24.2,19.8,203.8,355.1,29.3,24.5,88.5,122.5
Employment 6,Females,55 to 59 years,2021,893.8,12,4.1,24.5,19.8,210.4,349.2,28.4,25.3,94.5,125.6
Employment 6,Females,60 to 64 years,2019,584.3,7.5,2.9,17,12.9,125.8,231.9,18.1,18.5,65.3,84.5
Employment 6,Females,60 to 64 years,2020,562,6,2.8,14.2,12.6,125.9,226.2,16.9,16.6,58,82.6
Employment 6,Females,60 to 64 years,2021,609.7,7,2.7,17,13.1,130.3,245.8,19.3,17,67.5,90.2
Employment 6,Females,65 years and over,2019,342.8,3.8,1.8,9,6.7,62.9,139.1,10.6,12.1,39.9,56.9
Employment 6,Females,65 years and over,2020,309.6,2.7,1.6,9.1,7,55.3,128.5,10.2,10.3,30.8,53.9
Employment 6,Females,65 years and over,2021,325.6,3.5,1.5,10,7.4,56,135.4,10.5,9.8,39.7,51.6
Employment 6,Females,65 to 69 years,2019,232.2,2.6,1.2,6.2,4.3,44.3,92,7.5,7.8,27.8,38.5
Employment 6,Females,65 to 69 years,2020,202.4,1.9,1,6.5,4.5,38.9,84.5,6.8,6.2,18.5,33.7
Employment 6,Females,65 to 69 years,2021,223.9,2.2,1,6.9,5.1,42.7,91.8,6.8,5.8,27.2,34.4
Employment 6,Females,70 years and over,2019,110.6,1.1,0.7,2.8,2.4,18.6,47.1,3.1,4.4,12.1,18.3
Employment 6,Females,70 years and over,2020,107.1,0.8,0.7,2.7,2.5,16.4,44,3.5,4.1,12.3,20.2
Employment 6,Females,70 years and over,2021,101.7,1.3,0.5,3.1,2.3,13.3,43.6,3.7,4,12.5,17.3
Unemployment rate 7,Both sexes,15 years and over,2019,5.7,12.3,8.8,7.4,8.1,5.1,5.6,5.3,5.6,7,4.7
Unemployment rate 7,Both sexes,15 years and over,2020,9.5,14.1,10.4,9.8,10,8.9,9.6,8,8.4,11.4,8.9
Unemployment rate 7,Both sexes,15 years and over,2021,7.5,12.9,9.2,8.4,9,6.1,8,6.4,6.5,8.7,6.5
Unemployment rate 7,Both sexes,15 to 24 years,2019,11,18.9,10.6,13.3,12.9,8.5,12,11.1,11.5,12.6,9.1
Unemployment rate 7,Both sexes,15 to 24 years,2020,20.1,19.3,16.4,17.2,17.8,17.2,22,16.2,17.6,24.1,18.6
Unemployment rate 7,Both sexes,15 to 24 years,2021,13.5,17.1,13.6,13.5,13,9.7,15.7,11.7,11.5,15.6,12.2
